Level	Subject	Lemma	ZH	Definition	Example
P1	chinese	show your steps -16	写步骤	Phrase: show your steps -16	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	chinese	show your steps -24	写步骤	Phrase: show your steps -24	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	chinese	show your steps 1	写步骤	Phrase: show your steps 1	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	chinese	show your steps 4	写步骤	Phrase: show your steps 4	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	chinese	show your steps 5	写步骤	Phrase: show your steps 5	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	chinese	work it out	算一算	Phrase: work it out	{'en': 'Remember to work it out.', 'zh': '记得算一算。'}
P1	chinese	work it out -14	算一算	Phrase: work it out -14	{'en': 'Remember to work it out.', 'zh': '记得算一算。'}
P1	chinese	work it out -20	算一算	Phrase: work it out -20	{'en': 'Remember to work it out.', 'zh': '记得算一算。'}
P1	chinese	work it out -8	算一算	Phrase: work it out -8	{'en': 'Remember to work it out.', 'zh': '记得算一算。'}
P1	chinese	不仅…而且…	不仅…而且…	Phrase: 不仅…而且…	{'en': "Use the phrase '不仅…而且…' in a sentence.", 'zh': '在句子里用“不仅…而且…”。'}
P1	chinese	主旨		Meaning of 主旨.	{'en': "I can use '主旨' in my answer.", 'zh': '我可以在答案里用“主旨”。'}
P1	chinese	举一个例子	举一个例子	Phrase: 举一个例子	{'en': "Use the phrase '举一个例子' in a sentence.", 'zh': '在句子里用“举一个例子”。'}
P1	chinese	人物		Meaning of 人物.	{'en': "I can use '人物' in my answer.", 'zh': '我可以在答案里用“人物”。'}
P1	chinese	但是		Meaning of 但是.	{'en': "I can use '但是' in my answer.", 'zh': '我可以在答案里用“但是”。'}
P1	chinese	作文		Meaning of 作文.	{'en': "I can use '作文' in my answer.", 'zh': '我可以在答案里用“作文”。'}
P1	chinese	偏旁		Meaning of 偏旁.	{'en': "I can use '偏旁' in my answer.", 'zh': '我可以在答案里用“偏旁”。'}
P1	chinese	先…再…	先…再…	Phrase: 先…再…	{'en': "Use the phrase '先…再…' in a sentence.", 'zh': '在句子里用“先…再…”。'}
P1	chinese	写出步骤	写出步骤	Phrase: 写出步骤	{'en': "Use the phrase '写出步骤' in a sentence.", 'zh': '在句子里用“写出步骤”。'}
P1	chinese	写出答案	write the answer	A useful phrase: 写出答案.	{'en': 'Question: 写出答案?', 'zh': '问题：write the answer？'}
P1	chinese	动词		Meaning of 动词.	{'en': "I can use '动词' in my answer.", 'zh': '我可以在答案里用“动词”。'}
P1	chinese	原因		Meaning of 原因.	{'en': "I can use '原因' in my answer.", 'zh': '我可以在答案里用“原因”。'}
P1	chinese	反义词		Meaning of 反义词.	{'en': "I can use '反义词' in my answer.", 'zh': '我可以在答案里用“反义词”。'}
P1	chinese	句子		Meaning of 句子.	{'en': "I can use '句子' in my answer.", 'zh': '我可以在答案里用“句子”。'}
P1	chinese	名词		Meaning of 名词.	{'en': "I can use '名词' in my answer.", 'zh': '我可以在答案里用“名词”。'}
P1	chinese	因为		Meaning of 因为.	{'en': "I can use '因为' in my answer.", 'zh': '我可以在答案里用“因为”。'}
P1	chinese	因为…所以…	因为…所以…	Phrase: 因为…所以…	{'en': "Use the phrase '因为…所以…' in a sentence.", 'zh': '在句子里用“因为…所以…”。'}
P1	chinese	圈出关键词	circle key words	A useful phrase: 圈出关键词.	{'en': 'Question: 圈出关键词?', 'zh': '问题：circle key words？'}
P1	chinese	地点		Meaning of 地点.	{'en': "I can use '地点' in my answer.", 'zh': '我可以在答案里用“地点”。'}
P1	chinese	如果		Meaning of 如果.	{'en': "I can use '如果' in my answer.", 'zh': '我可以在答案里用“如果”。'}
P1	chinese	形容词		Meaning of 形容词.	{'en': "I can use '形容词' in my answer.", 'zh': '我可以在答案里用“形容词”。'}
P1	chinese	总结		Meaning of 总结.	{'en': "I can use '总结' in my answer.", 'zh': '我可以在答案里用“总结”。'}
P1	chinese	成语		Meaning of 成语.	{'en': "I can use '成语' in my answer.", 'zh': '我可以在答案里用“成语”。'}
P1	chinese	所以		Meaning of 所以.	{'en': "I can use '所以' in my answer.", 'zh': '我可以在答案里用“所以”。'}
P1	chinese	把句子补充完整	complete the sentence	A useful phrase: 把句子补充完整.	{'en': 'Question: 把句子补充完整?', 'zh': '问题：complete the sentence？'}
P1	chinese	把句子读一遍	把句子读一遍	Phrase: 把句子读一遍	{'en': "Use the phrase '把句子读一遍' in a sentence.", 'zh': '在句子里用“把句子读一遍”。'}
P1	chinese	把意思说清楚	把意思说清楚	Phrase: 把意思说清楚	{'en': "Use the phrase '把意思说清楚' in a sentence.", 'zh': '在句子里用“把意思说清楚”。'}
P1	chinese	把词语连成句子	make a sentence	A useful phrase: 把词语连成句子.	{'en': 'Question: 把词语连成句子?', 'zh': '问题：make a sentence？'}
P1	chinese	拼音		Meaning of 拼音.	{'en': "I can use '拼音' in my answer.", 'zh': '我可以在答案里用“拼音”。'}
P1	chinese	按顺序	in order	A useful phrase: 按顺序.	{'en': 'Question: 按顺序?', 'zh': '问题：in order？'}
P1	chinese	推断		Meaning of 推断.	{'en': "I can use '推断' in my answer.", 'zh': '我可以在答案里用“推断”。'}
P1	chinese	描写		Meaning of 描写.	{'en': "I can use '描写' in my answer.", 'zh': '我可以在答案里用“描写”。'}
P1	chinese	日记		Meaning of 日记.	{'en': "I can use '日记' in my answer.", 'zh': '我可以在答案里用“日记”。'}
P1	chinese	时间		Meaning of 时间.	{'en': "I can use '时间' in my answer.", 'zh': '我可以在答案里用“时间”。'}
P1	chinese	最后		Meaning of 最后.	{'en': "I can use '最后' in my answer.", 'zh': '我可以在答案里用“最后”。'}
P1	chinese	朗读		Meaning of 朗读.	{'en': "I can use '朗读' in my answer.", 'zh': '我可以在答案里用“朗读”。'}
P1	chinese	标点		Meaning of 标点.	{'en': "I can use '标点' in my answer.", 'zh': '我可以在答案里用“标点”。'}
P1	chinese	标题		Meaning of 标题.	{'en': "I can use '标题' in my answer.", 'zh': '我可以在答案里用“标题”。'}
P1	chinese	检查一遍	check once	A useful phrase: 检查一遍.	{'en': 'Question: 检查一遍?', 'zh': '问题：check once？'}
P1	chinese	检查答案	检查答案	Phrase: 检查答案	{'en': "Use the phrase '检查答案' in a sentence.", 'zh': '在句子里用“检查答案”。'}
P1	chinese	段意		Meaning of 段意.	{'en': "I can use '段意' in my answer.", 'zh': '我可以在答案里用“段意”。'}
P1	chinese	段落		Meaning of 段落.	{'en': "I can use '段落' in my answer.", 'zh': '我可以在答案里用“段落”。'}
P1	chinese	比较		Meaning of 比较.	{'en': "I can use '比较' in my answer.", 'zh': '我可以在答案里用“比较”。'}
P1	chinese	然后		Meaning of 然后.	{'en': "I can use '然后' in my answer.", 'zh': '我可以在答案里用“然后”。'}
P1	chinese	理解		Meaning of 理解.	{'en': "I can use '理解' in my answer.", 'zh': '我可以在答案里用“理解”。'}
P1	chinese	用自己的话说	用自己的话说	Phrase: 用自己的话说	{'en': "Use the phrase '用自己的话说' in a sentence.", 'zh': '在句子里用“用自己的话说”。'}
P1	chinese	细节		Meaning of 细节.	{'en': "I can use '细节' in my answer.", 'zh': '我可以在答案里用“细节”。'}
P1	chinese	结果		Meaning of 结果.	{'en': "I can use '结果' in my answer.", 'zh': '我可以在答案里用“结果”。'}
P1	chinese	给出理由	给出理由	Phrase: 给出理由	{'en': "Use the phrase '给出理由' in a sentence.", 'zh': '在句子里用“给出理由”。'}
P1	chinese	认真读题	认真读题	Phrase: 认真读题	{'en': "Use the phrase '认真读题' in a sentence.", 'zh': '在句子里用“认真读题”。'}
P1	chinese	认真阅读	read carefully	A useful phrase: 认真阅读.	{'en': 'Question: 认真阅读?', 'zh': '问题：read carefully？'}
P1	chinese	议论		Meaning of 议论.	{'en': "I can use '议论' in my answer.", 'zh': '我可以在答案里用“议论”。'}
P1	chinese	记叙		Meaning of 记叙.	{'en': "I can use '记叙' in my answer.", 'zh': '我可以在答案里用“记叙”。'}
P1	chinese	记叙文		Meaning of 记叙文.	{'en': "I can use '记叙文' in my answer.", 'zh': '我可以在答案里用“记叙文”。'}
P1	chinese	词性		Meaning of 词性.	{'en': "I can use '词性' in my answer.", 'zh': '我可以在答案里用“词性”。'}
P1	chinese	词语		Meaning of 词语.	{'en': "I can use '词语' in my answer.", 'zh': '我可以在答案里用“词语”。'}
P1	chinese	说明		Meaning of 说明.	{'en': "I can use '说明' in my answer.", 'zh': '我可以在答案里用“说明”。'}
P1	chinese	说明文		Meaning of 说明文.	{'en': "I can use '说明文' in my answer.", 'zh': '我可以在答案里用“说明文”。'}
P1	chinese	近义词		Meaning of 近义词.	{'en': "I can use '近义词' in my answer.", 'zh': '我可以在答案里用“近义词”。'}
P1	chinese	连词		Meaning of 连词.	{'en': "I can use '连词' in my answer.", 'zh': '我可以在答案里用“连词”。'}
P1	chinese	通知		Meaning of 通知.	{'en': "I can use '通知' in my answer.", 'zh': '我可以在答案里用“通知”。'}
P1	chinese	部首		Meaning of 部首.	{'en': "I can use '部首' in my answer.", 'zh': '我可以在答案里用“部首”。'}
P1	chinese	量词		Meaning of 量词.	{'en': "I can use '量词' in my answer.", 'zh': '我可以在答案里用“量词”。'}
P1	chinese	阅读		Meaning of 阅读.	{'en': "I can use '阅读' in my answer.", 'zh': '我可以在答案里用“阅读”。'}
P1	chinese	顺序		Meaning of 顺序.	{'en': "I can use '顺序' in my answer.", 'zh': '我可以在答案里用“顺序”。'}
P1	english	adjective	形容词	Meaning of adjective.	{'en': "I can use 'adjective' in my answer.", 'zh': '我可以在答案里用“形容词”。'}
P1	english	adverb	副词	Meaning of adverb.	{'en': "I can use 'adverb' in my answer.", 'zh': '我可以在答案里用“副词”。'}
P1	english	American	美式	Meaning of American.	{'en': "I can use 'American' in my answer.", 'zh': '我可以在答案里用“美式”。'}
P1	english	answer	答案	Meaning of answer.	{'en': "I can use 'answer' in my answer.", 'zh': '我可以在答案里用“答案”。'}
P1	english	answer in a sentence	用一句话回答	Phrase: answer in a sentence	{'en': "Use the phrase 'answer in a sentence' in a sentence.", 'zh': '在句子里用“用一句话回答”。'}
P1	english	answer the questions	回答问题	A useful phrase: answer the questions.	{'en': 'Question: answer the questions?', 'zh': '问题：回答问题？'}
P1	english	antonym	反义词	Meaning of antonym.	{'en': "I can use 'antonym' in my answer.", 'zh': '我可以在答案里用“反义词”。'}
P1	english	as a result	因此	A useful phrase: as a result.	{'en': 'Question: as a result?', 'zh': '问题：因此？'}
P1	english	at the same time	同时	A useful phrase: at the same time.	{'en': 'Question: at the same time?', 'zh': '问题：同时？'}
P1	english	because	因为	Meaning of because.	{'en': "I can use 'because' in my answer.", 'zh': '我可以在答案里用“因为”。'}
P1	english	because of	因为	A useful phrase: because of.	{'en': 'Question: because of?', 'zh': '问题：因为？'}
P1	english	beginning, middle, end	开头、中间、结尾	A useful phrase: beginning, middle, end.	{'en': 'Question: beginning, middle, end?', 'zh': '问题：开头、中间、结尾？'}
P1	english	British	英式	Meaning of British.	{'en': "I can use 'British' in my answer.", 'zh': '我可以在答案里用“英式”。'}
P1	english	carry out	执行	Meaning of carry out.	{'en': "We use the phrase 'carry out' in a question.", 'zh': '我们在问题里会用到短语“执行”。'}
P1	english	carry-out	（可查词典）	Meaning of carry-out.	{'en': "I can use 'carry-out' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	character	人物	Meaning of character.	{'en': "I can use 'character' in my answer.", 'zh': '我可以在答案里用“人物”。'}
P1	english	check your answer	检查答案	Phrase: check your answer	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	english	check your answer -1	检查答案	Phrase: check your answer -1	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	english	check your answer 1	检查答案	Phrase: check your answer 1	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	english	check your answer 3	检查答案	Phrase: check your answer 3	{'en': 'Remember to check your answer.', 'zh': '记得检查答案。'}
P1	english	check your work	检查作业	Phrase: check your work	{'en': "Use the phrase 'check your work' in a sentence.", 'zh': '在句子里用“检查作业”。'}
P1	english	choose the best answer	选择最佳答案	A useful phrase: choose the best answer.	{'en': 'Question: choose the best answer?', 'zh': '问题：选择最佳答案？'}
P1	english	circle the correct word	圈出正确词	A useful phrase: circle the correct word.	{'en': 'Question: circle the correct word?', 'zh': '问题：圈出正确词？'}
P1	english	circle the keywords	圈关键词	Phrase: circle the keywords	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -12	圈关键词	Phrase: circle the keywords -12	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -15	圈关键词	Phrase: circle the keywords -15	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -26	圈关键词	Phrase: circle the keywords -26	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -3	圈关键词	Phrase: circle the keywords -3	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -30	圈关键词	Phrase: circle the keywords -30	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords -8	圈关键词	Phrase: circle the keywords -8	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords 4	圈关键词	Phrase: circle the keywords 4	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	circle the keywords 5	圈关键词	Phrase: circle the keywords 5	{'en': 'Remember to circle the keywords.', 'zh': '记得圈关键词。'}
P1	english	compare	比较	Meaning of compare.	{'en': "I can use 'compare' in my answer.", 'zh': '我可以在答案里用“比较”。'}
P1	english	compare and contrast	比较和对照	Phrase: compare and contrast	{'en': "Use the phrase 'compare and contrast' in a sentence.", 'zh': '在句子里用“比较和对照”。'}
P1	english	contrast	对比	Meaning of contrast.	{'en': "I can use 'contrast' in my answer.", 'zh': '我可以在答案里用“对比”。'}
P1	english	describe	描述	Meaning of describe.	{'en': "I can use 'describe' in my answer.", 'zh': '我可以在答案里用“描述”。'}
P1	english	describe the picture	描述图片	A useful phrase: describe the picture.	{'en': 'Question: describe the picture?', 'zh': '问题：描述图片？'}
P1	english	detail	细节	Meaning of detail.	{'en': "I can use 'detail' in my answer.", 'zh': '我可以在答案里用“细节”。'}
P1	english	explain	解释	Meaning of explain.	{'en': "I can use 'explain' in my answer.", 'zh': '我可以在答案里用“解释”。'}
P1	english	explain your reasoning	解释理由	Phrase: explain your reasoning	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	english	explain your reasoning -17	解释理由	Phrase: explain your reasoning -17	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	english	explain your reasoning -31	解释理由	Phrase: explain your reasoning -31	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	english	explain your reasoning -33	解释理由	Phrase: explain your reasoning -33	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	english	explain your reasoning -5	解释理由	Phrase: explain your reasoning -5	{'en': 'Remember to explain your reasoning.', 'zh': '记得解释理由。'}
P1	english	fact	事实	Meaning of fact.	{'en': "I can use 'fact' in my answer.", 'zh': '我可以在答案里用“事实”。'}
P1	english	fill in the blanks	填空	A useful phrase: fill in the blanks.	{'en': 'Question: fill in the blanks?', 'zh': '问题：填空？'}
P1	english	finally	最后	Meaning of finally.	{'en': "I can use 'finally' in my answer.", 'zh': '我可以在答案里用“最后”。'}
P1	english	find evidence	找证据	A useful phrase: find evidence.	{'en': 'Question: find evidence?', 'zh': '问题：找证据？'}
P1	english	first	首先	Meaning of first.	{'en': "I can use 'first' in my answer.", 'zh': '我可以在答案里用“首先”。'}
P1	english	first of all	首先	Phrase: first of all	{'en': "Use the phrase 'first of all' in a sentence.", 'zh': '在句子里用“首先”。'}
P1	english	first, next, then, finally	首先、然后、接着、最后	A useful phrase: first, next, then, finally.	{'en': 'Question: first, next, then, finally?', 'zh': '问题：首先、然后、接着、最后？'}
P1	english	for example	例如	A useful phrase: for example.	{'en': 'Question: for example?', 'zh': '问题：例如？'}
P1	english	future	（可查词典）	Meaning of future.	{'en': "I can use 'future' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	however	但是	Meaning of however.	{'en': "I can use 'however' in my answer.", 'zh': '我可以在答案里用“但是”。'}
P1	english	in the end	最后	Phrase: in the end	{'en': "Use the phrase 'in the end' in a sentence.", 'zh': '在句子里用“最后”。'}
P1	english	in your own words	用自己的话	A useful phrase: in your own words.	{'en': 'Question: in your own words?', 'zh': '问题：用自己的话？'}
P1	english	infer	推断	Meaning of infer.	{'en': "I can use 'infer' in my answer.", 'zh': '我可以在答案里用“推断”。'}
P1	english	look back	回顾	Meaning of look back.	{'en': "We use the phrase 'look back' in a question.", 'zh': '我们在问题里会用到短语“回顾”。'}
P1	english	look-back	（可查词典）	Meaning of look-back.	{'en': "I can use 'look-back' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	main idea	主旨	Meaning of main idea.	{'en': "We use the phrase 'main idea' in a question.", 'zh': '我们在问题里会用到短语“主旨”。'}
P1	english	main-idea	（可查词典）	Meaning of main-idea.	{'en': "I can use 'main-idea' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	make a plan	制定计划	Phrase: make a plan	{'en': "Use the phrase 'make a plan' in a sentence.", 'zh': '在句子里用“制定计划”。'}
P1	english	match the pairs	连线配对	A useful phrase: match the pairs.	{'en': 'Question: match the pairs?', 'zh': '问题：连线配对？'}
P1	english	meaning	意思	Meaning of meaning.	{'en': "I can use 'meaning' in my answer.", 'zh': '我可以在答案里用“意思”。'}
P1	english	next	接着	Meaning of next.	{'en': "I can use 'next' in my answer.", 'zh': '我可以在答案里用“接着”。'}
P1	english	noun	名词	Meaning of noun.	{'en': "I can use 'noun' in my answer.", 'zh': '我可以在答案里用“名词”。'}
P1	english	on the other hand	另一方面	A useful phrase: on the other hand.	{'en': 'Question: on the other hand?', 'zh': '问题：另一方面？'}
P1	english	opinion	观点	Meaning of opinion.	{'en': "I can use 'opinion' in my answer.", 'zh': '我可以在答案里用“观点”。'}
P1	english	paragraph	段落	Meaning of paragraph.	{'en': "I can use 'paragraph' in my answer.", 'zh': '我可以在答案里用“段落”。'}
P1	english	past	（可查词典）	Meaning of past.	{'en': "I can use 'past' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	pay attention to	注意	Phrase: pay attention to	{'en': "Use the phrase 'pay attention to' in a sentence.", 'zh': '在句子里用“注意”。'}
P1	english	plan	计划	Meaning of plan.	{'en': "I can use 'plan' in my answer.", 'zh': '我可以在答案里用“计划”。'}
P1	english	plural	复数	Meaning of plural.	{'en': "I can use 'plural' in my answer.", 'zh': '我可以在答案里用“复数”。'}
P1	english	predict	预测	Meaning of predict.	{'en': "I can use 'predict' in my answer.", 'zh': '我可以在答案里用“预测”。'}
P1	english	preposition	介词	Meaning of preposition.	{'en': "I can use 'preposition' in my answer.", 'zh': '我可以在答案里用“介词”。'}
P1	english	present	（可查词典）	Meaning of present.	{'en': "I can use 'present' in my answer.", 'zh': '我可以在答案里用“（可查词典）”。'}
P1	english	problem	问题	Meaning of problem.	{'en': "I can use 'problem' in my answer.", 'zh': '我可以在答案里用“问题”。'}
P1	english	pronunciation	发音	Meaning of pronunciation.	{'en': "I can use 'pronunciation' in my answer.", 'zh': '我可以在答案里用“发音”。'}
P1	english	question	问题	Meaning of question.	{'en': "I can use 'question' in my answer.", 'zh': '我可以在答案里用“问题”。'}
P1	english	read aloud	大声朗读	Phrase: read aloud	{'en': "Use the phrase 'read aloud' in a sentence.", 'zh': '在句子里用“大声朗读”。'}
P1	english	read carefully	仔细阅读	Phrase: read carefully	{'en': "Use the phrase 'read carefully' in a sentence.", 'zh': '在句子里用“仔细阅读”。'}
P1	english	read the passage	阅读短文	A useful phrase: read the passage.	{'en': 'Question: read the passage?', 'zh': '问题：阅读短文？'}
P1	english	read the question	读题	Phrase: read the question	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -10	读题	Phrase: read the question -10	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -14	读题	Phrase: read the question -14	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -19	读题	Phrase: read the question -19	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -27	读题	Phrase: read the question -27	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -34	读题	Phrase: read the question -34	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -36	读题	Phrase: read the question -36	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question -7	读题	Phrase: read the question -7	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	read the question 0	读题	Phrase: read the question 0	{'en': 'Remember to read the question.', 'zh': '记得读题。'}
P1	english	sentence	句子	Meaning of sentence.	{'en': "I can use 'sentence' in my answer.", 'zh': '我可以在答案里用“句子”。'}
P1	english	setting	背景	Meaning of setting.	{'en': "I can use 'setting' in my answer.", 'zh': '我可以在答案里用“背景”。'}
P1	english	show your steps	写步骤	Phrase: show your steps	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -11	写步骤	Phrase: show your steps -11	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -13	写步骤	Phrase: show your steps -13	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -16	写步骤	Phrase: show your steps -16	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -18	写步骤	Phrase: show your steps -18	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -20	写步骤	Phrase: show your steps -20	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -21	写步骤	Phrase: show your steps -21	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -24	写步骤	Phrase: show your steps -24	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps -25	写步骤	Phrase: show your steps -25	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	show your steps 2	写步骤	Phrase: show your steps 2	{'en': 'Remember to show your steps.', 'zh': '记得写步骤。'}
P1	english	solution	解决方法	Meaning of solution.	{'en': "I can use 'solution' in my answer.", 'zh': '我可以在答案里用“解决方法”。'}
P1	english	sort the words	把单词分类	A useful phrase: sort the words.	{'en': 'Question: sort the words?', 'zh': '问题：把单词分类？'}
P1	english	spell it correctly	拼写正确	A useful phrase: spell it correctly.	{'en': 'Question: spell it correctly?', 'zh': '问题：拼写正确？'}
P1	english	story	故事	Meaning of story.	{'en': "I can use 'story' in my answer.", 'zh': '我可以在答案里用“故事”。'}
P1	english	stress	重音	Meaning of stress.	{'en': "I can use 'stress' in my answer.", 'zh': '我可以在答案里用“重音”。'}
